ort,plz,landkreis
Armstedt,24616,Kreis Segeberg
Armstorf,21769,Landkreis Cuxhaven
Arnbruck,93471,Landkreis Regen
Arneburg,39596,Landkreis Stendal
Arnis,24399,Kreis Schleswig-Flensburg
Arnsberg,59755,Hochsauerlandkreis
Arnsberg,59757,Hochsauerlandkreis
Arnsberg,59759,Hochsauerlandkreis
Arnsberg,59821,Hochsauerlandkreis
Arnsberg,59823,Hochsauerlandkreis
Arnschwang,93473,Landkreis Cham
Arnsdorf,01477,Landkreis Bautzen
Arnshöfen,56244,Westerwaldkreis
Arnstadt,99310,Ilm-Kreis
Arnstein,97450,Landkreis Main-Spessart
Arnstein,06456,Landkreis Mansfeld-Südharz
Arnstorf,94424,Landkreis Rottal-Inn
Arpsdorf,24634,Kreis Rendsburg-Eckernförde
Arrach,93474,Landkreis Cham
Artern/Unstrut,06556,Kyffhäuserkreis
Artlenburg,21380,Landkreis Lüneburg
Arzbach,56337,Rhein-Lahn-Kreis
Arzberg,04886,Landkreis Nordsachsen
Arzberg,95659,Landkreis Wunsiedel im Fichtelgebirge
Arzfeld,54687,Eifelkreis Bitburg-Prüm
Asbach,53567,Landkreis Neuwied
Asbach,55758,Landkreis Birkenfeld
Asbach-Bäumenheim,86663,Landkreis Donau-Ries
Asbach-Sickenberg,37318,Landkreis Eichsfeld
Ascha,94347,Landkreis Straubing-Bogen
Aschaffenburg,63739,
Aschaffenburg,63741,
Aschaffenburg,63743,
Aschau am Inn,84544,Landkreis Mühldorf am Inn
Aschau im Chiemgau,83229,Landkreis Rosenheim
Aschbach,67753,Landkreis Kusel
Ascheberg,59387,Kreis Coesfeld
Ascheberg,24326,Kreis Plön
Ascheffel,24358,Kreis Rendsburg-Eckernförde
Aschenhausen,98634,Landkreis Schmalkalden-Meiningen
Aschersleben,06449,Salzlandkreis
Aschheim,85609,Landkreis München
Asendorf,21271,Landkreis Harburg
Asendorf,27330,Landkreis Diepholz
Aspach,71546,Rems-Murr-Kreis
Asperg,71679,Landkreis Ludwigsburg
Aspisheim,55459,Landkreis Mainz-Bingen
Assamstadt,97959,Main-Tauber-Kreis
Asselfingen,89176,Alb-Donau-Kreis
