ort,plz,landkreis
Torgelow am See,17192,Landkreis Mecklenburgische Seenplatte
Tornesch,25436,Kreis Pinneberg
Tostedt,21255,Landkreis Harburg
Tosterglope,21371,Landkreis Lüneburg
Tottleben,99947,Unstrut-Hainich-Kreis
Traben-Trarbach,56841,Landkreis Bernkastel-Wittlich
Trabitz,92724,Landkreis Neustadt an der Waldnaab
Train,93358,Landkreis Kelheim
Traisen,55595,Landkreis Bad Kreuznach
Traitsching,93455,Landkreis Cham
Tramm,19089,Landkreis Ludwigslust-Parchim
Tramm,21516,Kreis Herzogtum Lauenburg
Trappenkamp,24610,Kreis Segeberg
Trappstadt,97633,Landkreis Rhön-Grabfeld
Trassem,54441,Landkreis Trier-Saarburg
Trassenheide,17449,Landkreis Vorpommern-Greifswald
Traunreut,83301,Landkreis Traunstein
Traunreut,83368,Landkreis Traunstein
Traunreut,83371,Landkreis Traunstein
Traunreut,83374,Landkreis Traunstein
Traunstein,83278,Landkreis Traunstein
Trausnitz,92555,Landkreis Schwandorf
Trautskirchen,90619,Landkreis Neustadt an der Aisch-Bad Windsheim
Travenbrück,23843,Kreis Stormarn
Travenhorst,23827,Kreis Segeberg
Traventhal,23795,Kreis Segeberg
Trebbin,14959,Landkreis Teltow-Fläming
Trebel,29494,Landkreis Lüchow-Dannenberg
Treben,04617,Landkreis Altenburger Land
Trebendorf,02959,Landkreis Görlitz
Trebgast,95367,Landkreis Kulmbach
Trebra,99718,Kyffhäuserkreis
Trebsen/Mulde,04687,Landkreis Leipzig
Trebur,65468,Kreis Groß-Gerau
Trechtingshausen,55413,Landkreis Mainz-Bingen
Treffelstein,93492,Landkreis Cham
Treffurt,99830,Wartburgkreis
Treffurt,99831,Wartburgkreis
Treia,24896,Kreis Schleswig-Flensburg
Treis-Karden,56253,Landkreis Cochem-Zell
Tremsbüttel,22967,Kreis Stormarn
Trendelburg,34388,Landkreis Kassel
Trennewurth,25693,Kreis Dithmarschen
Trent,18569,Landkreis Vorpommern-Rügen
Treplin,15236,Landkreis Märkisch-Oderland
Treuchtlingen,91757,Landkreis Weißenburg-Gunzenhausen
Treuen,08233,Vogtlandkreis
Treuenbrietzen,14929,Landkreis Potsdam-Mittelmark
Triberg im Schwarzwald,78098,Schwarzwald-Baar-Kreis
Tribsees,18465,Landkreis Vorpommern-Rügen
Triebel,08606,Vogtlandkreis
Triefenstein,97855,Landkreis Main-Spessart
Trier,54290,
Trier,54292,
Trier,54293,
Trier,54294,
Trier,54295,
Trier,54296,
Trierscheid,53520,Landkreis Ahrweiler
Trierweiler,54311,Landkreis Trier-Saarburg
Triftern,84371,Landkreis Rottal-Inn
Triglitz,16949,Landkreis Prignitz
Trimbs,56753,Landkreis Mayen-Koblenz
Trimport,54636,Eifelkreis Bitburg-Prüm
Trinwillershagen,18320,Landkreis Vorpommern-Rügen
Trippstadt,67705,Landkreis Kaiserslautern
Triptis,07819,Saale-Orla-Kreis
Trittau,22946,Kreis Stormarn
Trittenheim,54349,Landkreis Trier-Saarburg
Tröbitz,03253,Landkreis Elbe-Elster
Tröbnitz,07646,Saale-Holzland-Kreis
Tröchtelborn,99869,Landkreis Gotha
Trochtelfingen,72818,Landkreis Reutlingen
Trockenborn-Wolfersdorf,07646,Saale-Holzland-Kreis
Trogen,95183,Landkreis Hof
Troisdorf,53840,Rhein-Sieg-Kreis
Troisdorf,53842,Rhein-Sieg-Kreis
Troisdorf,53844,Rhein-Sieg-Kreis
Troistedt,99438,Landkreis Weimarer Land
Trollenhagen,17039,Landkreis Mecklenburgische Seenplatte
Tröndel,24321,Kreis Plön
Trossin,04880,Landkreis Nordsachsen
Trossingen,78647,Landkreis Tuttlingen
Tröstau,95709,Landkreis Wunsiedel im Fichtelgebirge
Trostberg,83308,Landkreis Traunstein
Trulben,66957,Landkreis Südwestpfalz
Trunkelsberg,87779,Landkreis Unterallgäu
Tschernitz,03130,Landkreis Spree-Neiße
Tschirn,96367,Landkreis Kronach
Tübingen,72070,Landkreis Tübingen
Tübingen,72072,Landkreis Tübingen
Tübingen,72074,Landkreis Tübingen
Tübingen,72076,Landkreis Tübingen
Tuchenbach,90587,Landkreis Fürth
Tülau,38474,Landkreis Gifhorn
Tümlauer Koog,25881,Kreis Nordfriesland
Tunau,79677,Landkreis Lörrach
Tuningen,78609,Schwarzwald-Baar-Kreis
Tuntenhausen,83104,Landkreis Rosenheim
Türkenfeld,82299,Landkreis Fürstenfeldbruck
Türkheim,86842,Landkreis Unterallgäu
Turnow-Preilack,03185,Landkreis Spree-Neiße
Tussenhausen,86874,Landkreis Unterallgäu
Tüßling,84577,Landkreis Altötting
Tutow,17129,Landkreis Vorpommern-Greifswald
Tüttendorf,24214,Kreis Rendsburg-Eckernförde
Tüttleben,99869,Landkreis Gotha
Tuttlingen,78532,Landkreis Tuttlingen
Tutzing,82327,Landkreis Starnberg
Tützpatz,17091,Landkreis Mecklenburgische Seenplatte
Twedt,24894,Kreis Schleswig-Flensburg
Twist,49767,Landkreis Emsland
Twistetal,34477,Landkreis Waldeck-Frankenberg
Twistringen,27239,Landkreis Diepholz
Tyrlaching,84558,Landkreis Altötting
Übach-Palenberg,52531,Kreis Heinsberg
Übereisenbach,54689,Eifelkreis Bitburg-Prüm
Überherrn,66802,Landkreis Saarlouis
Überlingen,88662,Bodenseekreis
Übersee,83236,Landkreis Traunstein
Ubstadt-Weiher,76698,Landkreis Karlsruhe
Uchte,31600,Landkreis Nienburg/Weser
Üchtelhausen,97532,Landkreis Schweinfurt
Uckerfelde,17291,Landkreis Uckermark
Ückeritz,17459,Landkreis Vorpommern-Greifswald
Uckerland,17337,Landkreis Uckermark
Udenheim,55288,Landkreis Alzey-Worms
Uder,37318,Landkreis Eichsfeld
Üdersdorf,54552,Landkreis Vulkaneifel
Udestedt,99198,Landkreis Sömmerda
Udler,54552,Landkreis Vulkaneifel
Uebigau-Wahrenbrück,04895,Landkreis Elbe-Elster
Uebigau-Wahrenbrück,04924,Landkreis Elbe-Elster
Uebigau-Wahrenbrück,04938,Landkreis Elbe-Elster
Ueckermünde,17373,Landkreis Vorpommern-Greifswald
Uedem,47589,Kreis Kleve
Uehlfeld,91486,Landkreis Neustadt an der Aisch-Bad Windsheim
Uehrde,38170,Landkreis Wolfenbüttel
Uelitz,19077,Landkreis Ludwigslust-Parchim
Uelsby,24860,Kreis Schleswig-Flensburg
Uelsen,49843,Landkreis Grafschaft Bentheim
Uelversheim,55278,Landkreis Mainz-Bingen
Uelvesbüll,25889,Kreis Nordfriesland
Uelzen,29525,Landkreis Uelzen
Uersfeld,56767,Landkreis Vulkaneifel
Ueß,56767,Landkreis Vulkaneifel
Uetersen,25436,Kreis Pinneberg
Uettingen,97292,Landkreis Würzburg
Uetze,31311,Region Hannover
Uffenheim,97215,Landkreis Neustadt an der Aisch-Bad Windsheim
Uffing am Staffelsee,82449,Landkreis Garmisch-Partenkirchen
Uhingen,73066,Landkreis Göppingen
Uhldingen-Mühlhofen,88690,Bodenseekreis
Uhler,56290,Rhein-Hunsrück-Kreis
Ühlingen-Birkendorf,79777,Landkreis Waldshut
Uhlstädt-Kirchhasel,07407,Landkreis Saalfeld-Rudolstadt
Ulm,89073,
Ulm,89075,
Ulm,89077,
Ulm,89079,
Ulm,89081,
Ulm,89160,
Ulmen,56766,Landkreis Cochem-Zell
Ulmet,66887,Landkreis Kusel
Ulrichstein,35327,Vogelsbergkreis
Ulsnis,24897,Kreis Schleswig-Flensburg
Umkirch,79224,Landkreis Breisgau-Hochschwarzwald
Ummanz,18569,Landkreis Vorpommern-Rügen
Ummendorf,39365,Landkreis Börde
Ummendorf,88444,Landkreis Biberach
Ummern,29369,Landkreis Gifhorn
Ummerstadt,98663,Landkreis Hildburghausen
Umpferstedt,99441,Landkreis Weimarer Land
Undeloh,21274,Landkreis Harburg
Undeloh,29640,Landkreis Harburg
Undenheim,55278,Landkreis Mainz-Bingen
Ungerhausen,87781,Landkreis Unterallgäu
Unkel,53572,Landkreis Neuwied
Unkenbach,67823,Donnersbergkreis
Unlingen,88527,Landkreis Biberach
Unna,59423,Kreis Unna
Unna,59425,Kreis Unna
Unna,59427,Kreis Unna
Unnau,57648,Westerwaldkreis
Unsleben,97618,Landkreis Rhön-Grabfeld
Unstruttal,99974,Unstrut-Hainich-Kreis
Unstruttal,99976,Unstrut-Hainich-Kreis
Unterammergau,82497,Landkreis Garmisch-Partenkirchen
Unterbodnitz,07646,Saale-Holzland-Kreis
Unterbreizbach,36404,Wartburgkreis
Unterbreizbach,36414,Wartburgkreis
Unterdießen,86944,Landkreis Landsberg am Lech
Unterdietfurt,84339,Landkreis Rottal-Inn
Unteregg,87782,Landkreis Unterallgäu
Untereisesheim,74257,Landkreis Heilbronn
Unterensingen,72669,Landkreis Esslingen
Unterföhring,85774,Landkreis München
Untergriesbach,94107,Landkreis Passau
Untergruppenbach,74199,Landkreis Heilbronn
Unterhaching,82008,Landkreis München
Unterjeckenbach,67746,Landkreis Kusel
Unterkatz,98634,Landkreis Schmalkalden-Meiningen
Unterkirnach,78089,Schwarzwald-Baar-Kreis
Unterleinleiter,91364,Landkreis Forchheim
Untermarchtal,89617,Alb-Donau-Kreis
Untermaßfeld,98617,Landkreis Schmalkalden-Meiningen
Untermeitingen,86836,Landkreis Augsburg
Untermerzbach,96190,Landkreis Haßberge
Untermünkheim,74547,Landkreis Schwäbisch Hall
Unterneukirchen,84579,Landkreis Altötting
Unterpleichfeld,97294,Landkreis Würzburg
Unterreichenbach,75399,Landkreis Calw
Unterreit,83567,Landkreis Mühldorf am Inn
Unterroth,89299,Landkreis Neu-Ulm
Unterschleißheim,85716,Landkreis München
Unterschneidheim,73485,Ostalbkreis
Unterschönau,98587,Landkreis Schmalkalden-Meiningen
Unterschwaningen,91743,Landkreis Ansbach
Untershausen,56412,Westerwaldkreis
Untersiemau,96253,Landkreis Coburg
Unterspreewald,15910,Landkreis Dahme-Spreewald
Unterstadion,89619,Alb-Donau-Kreis
Untersteinach,95369,Landkreis Kulmbach
Unterthingau,87647,Landkreis Ostallgäu
Unterwachingen,89597,Alb-Donau-Kreis
Unterwaldhausen,88379,Landkreis Ravensburg
Unterweid,98634,Landkreis Schmalkalden-Meiningen
Unterweißbach,98744,Landkreis Saalfeld-Rudolstadt
Unterwellenborn,07333,Landkreis Saalfeld-Rudolstadt
Unterwössen,83246,Landkreis Traunstein
Untrasried,87496,Landkreis Ostallgäu
Unzenberg,55483,Rhein-Hunsrück-Kreis
Upahl,23936,Landkreis Nordwestmecklenburg
Upgant-Schott,26529,Landkreis Aurich
Uphusum,25923,Kreis Nordfriesland
Uplengen,26670,Landkreis Leer
Uppershausen,54673,Eifelkreis Bitburg-Prüm
Urbach,73655,Rems-Murr-Kreis
Urbach,73660,Rems-Murr-Kreis
Urbach,56317,Landkreis Neuwied
Urbach,99765,Landkreis Nordhausen
Urbar,56182,Landkreis Mayen-Koblenz
Urbar,55430,Rhein-Hunsrück-Kreis
Urleben,99955,Unstrut-Hainich-Kreis
Urmersbach,56761,Landkreis Cochem-Zell
Urmitz,56220,Landkreis Mayen-Koblenz
Urnshausen,36457,Wartburgkreis
Ursberg,86513,Landkreis Günzburg
Urschmitt,56825,Landkreis Cochem-Zell
Ursensollen,92289,Landkreis Amberg-Sulzbach
Urspringen,97857,Landkreis Main-Spessart
Ürzig,54539,Landkreis Bernkastel-Wittlich
Usch,54655,Eifelkreis Bitburg-Prüm
Usedom,17406,Landkreis Vorpommern-Greifswald
Userin,17237,Landkreis Mecklenburgische Seenplatte
Usingen,61250,Hochtaunuskreis
Uslar,37170,Landkreis Northeim
Ustersbach,86514,Landkreis Augsburg
Utarp,26556,Landkreis Wittmund
Utecht,19217,Landkreis Nordwestmecklenburg
Utendorf,98617,Landkreis Schmalkalden-Meiningen
Utersum,25938,Kreis Nordfriesland
Utscheid,54675,Eifelkreis Bitburg-Prüm
Uttenreuth,91080,Landkreis Erlangen-Höchstadt
Uttenweiler,88524,Landkreis Biberach
Üttfeld,54619,Eifelkreis Bitburg-Prüm
Utting am Ammersee,86919,Landkreis Landsberg am Lech
Utzedel,17111,Landkreis Mecklenburgische Seenplatte
Utzenfeld,79694,Landkreis Lörrach
Utzenhain,56291,Rhein-Hunsrück-Kreis
Utzerath,54552,Landkreis Vulkaneifel
Üxheim,54579,Landkreis Vulkaneifel
Vaale,25572,Kreis Steinburg
Vaale,25594,Kreis Steinburg
Vaalermoor,25594,Kreis Steinburg
Vacha,36404,Wartburgkreis
Vachdorf,98617,Landkreis Schmalkalden-Meiningen
Vachendorf,83377,Landkreis Traunstein
Vahlberg,38170,Landkreis Wolfenbüttel
Vahlbruch,37647,Landkreis Holzminden
Vahlde,27389,Landkreis Rotenburg (Wümme)
Vaihingen an der Enz,71665,Landkreis Ludwigsburg
Vallendar,56179,Landkreis Mayen-Koblenz
Valley,83626,Landkreis Miesbach
Valwig,56812,Landkreis Cochem-Zell
Varchentin,17192,Landkreis Mecklenburgische Seenplatte
Varel,26316,Landkreis Friesland
Varrel,27259,Landkreis Diepholz
Vastorf,21397,Landkreis Lüneburg
Vaterstetten,85591,Landkreis Ebersberg
Vaterstetten,85598,Landkreis Ebersberg
Vaterstetten,85599,Landkreis Ebersberg
Vaterstetten,85622,Landkreis Ebersberg
Vaterstetten,85646,Landkreis Ebersberg
Vechelde,38159,Landkreis Peine
Vechta,49377,Landkreis Vechta
Veelböken,19205,Landkreis Nordwestmecklenburg
Veilsdorf,98669,Landkreis Hildburghausen
Veitsbronn,90587,Landkreis Fürth
Veitshöchheim,97209,Landkreis Würzburg
Veitsrodt,55758,Landkreis Birkenfeld
Velbert,42549,Kreis Mettmann
Velbert,42551,Kreis Mettmann
Velbert,42553,Kreis Mettmann
Velbert,42555,Kreis Mettmann
Velburg,92355,Landkreis Neumarkt in der Oberpfalz
Velden,84149,Landkreis Landshut
Velden,91235,Landkreis Nürnberger Land
Veldenz,54472,Landkreis Bernkastel-Wittlich
Velen,46342,Kreis Borken
Velgast,18469,Landkreis Vorpommern-Rügen
Vellahn,19260,Landkreis Ludwigslust-Parchim
Vellberg,74541,Landkreis Schwäbisch Hall
Vellmar,34246,Landkreis Kassel
Velpke,38458,Landkreis Helmstedt
Velten,16727,Landkreis Oberhavel
Veltheim,38173,Landkreis Wolfenbüttel
Vendersheim,55578,Landkreis Alzey-Worms
Venningen,67482,Landkreis Südliche Weinstraße
Ventschow,19417,Landkreis Nordwestmecklenburg
Verchen,17111,Landkreis Mecklenburgische Seenplatte
Verden (Aller),27283,Landkreis Verden
Veringenstadt,72519,Landkreis Sigmaringen
Verl,33415,Kreis Gütersloh
Versmold,33775,Kreis Gütersloh
Vestenbergsgreuth,91487,Landkreis Erlangen-Höchstadt
Vetschau/Spreewald,03226,Landkreis Oberspreewald-Lausitz
Vettelschoß,53560,Landkreis Neuwied
Vettweiß,52391,Kreis Düren
Viechtach,94234,Landkreis Regen
Vielank,19303,Landkreis Ludwigslust-Parchim
Vielbach,56244,Westerwaldkreis
Vielitzsee,16835,Landkreis Ostprignitz-Ruppin
Vierden,27419,Landkreis Rotenburg (Wümme)
Viereck,17309,Landkreis Vorpommern-Greifswald
Viereth-Trunstadt,96191,Landkreis Bamberg
Vierherrenborn,54314,Landkreis Trier-Saarburg
Vierhöfen,21444,Landkreis Harburg
Vierkirchen,85256,Landkreis Dachau
Vierkirchen,02894,Landkreis Görlitz
Vierlinden,15306,Landkreis Märkisch-Oderland
Viernau,98547,Landkreis Schmalkalden-Meiningen
Viernheim,68519,Kreis Bergstraße
Viersen,41747,Kreis Viersen
Viersen,41748,Kreis Viersen
Viersen,41749,Kreis Viersen
Viersen,41751,Kreis Viersen
Vilgertshofen,86946,Landkreis Landsberg am Lech
Villenbach,86637,Landkreis Dillingen an der Donau
Villingendorf,78667,Landkreis Rottweil
Villingen-Schwenningen,78048,Schwarzwald-Baar-Kreis
Villingen-Schwenningen,78050,Schwarzwald-Baar-Kreis
Villingen-Schwenningen,78052,Schwarzwald-Baar-Kreis
Villingen-Schwenningen,78054,Schwarzwald-Baar-Kreis
Villingen-Schwenningen,78056,Schwarzwald-Baar-Kreis
Villmar,65606,Landkreis Limburg-Weilburg
Vilsbiburg,84137,Landkreis Landshut
Vilseck,92249,Landkreis Amberg-Sulzbach
Vilsheim,84186,Landkreis Landshut
Vilshofen an der Donau,94474,Landkreis Passau
Vinningen,66957,Landkreis Südwestpfalz
Viöl,25884,Kreis Nordfriesland
Vippachedelhausen,99439,Landkreis Weimarer Land
Vipperow,17209,Landkreis Mecklenburgische Seenplatte
Virneburg,56729,Landkreis Mayen-Koblenz
Visbek,49429,Landkreis Vechta
Visselhövede,27374,Landkreis Rotenburg (Wümme)
Vlotho,32602,Kreis Herford
Voerde (Niederrhein),46562,Kreis Wesel
Vogelsang,15890,Landkreis Oder-Spree
Vogelsang-Warsin,17375,Landkreis Vorpommern-Greifswald
Vogelsberg,99610,Landkreis Sömmerda
Vögelsen,21360,Landkreis Lüneburg
Vogt,88267,Landkreis Ravensburg
Vogtareuth,83569,Landkreis Rosenheim
Vogtei,99986,Unstrut-Hainich-Kreis
Vogtsburg im Kaiserstuhl,79235,Landkreis Breisgau-Hochschwarzwald
Vohburg a.d.Donau,85088,Landkreis Pfaffenhofen an der Ilm
Vohenstrauß,92648,Landkreis Neustadt an der Waldnaab
Vöhl,34516,Landkreis Waldeck-Frankenberg
Vöhrenbach,78147,Schwarzwald-Baar-Kreis
Vöhringen,89269,Landkreis Neu-Ulm
Vöhringen,72189,Landkreis Rottweil
Voigtsdorf,17349,Landkreis Mecklenburgische Seenplatte
Voigtstedt,06556,Kyffhäuserkreis
Volkach,97332,Landkreis Kitzingen
Volkenschwand,84106,Landkreis Kelheim
Volkerode,37308,Landkreis Eichsfeld
Völkersweiler,76857,Landkreis Südliche Weinstraße
Volkertshausen,78269,Landkreis Konstanz
Volkerzen,57612,Landkreis Altenkirchen
Volkesfeld,56745,Landkreis Mayen-Koblenz
Völklingen,66333,Regionalverband Saarbrücken
Volkmannsdorf,07924,Saale-Orla-Kreis
Volkmarsen,34471,Landkreis Waldeck-Frankenberg
Vollersode,27729,Landkreis Osterholz
Vollersroda,99438,Landkreis Weimarer Land
Vollerwiek,25836,Kreis Nordfriesland
Vollmersbach,55758,Landkreis Birkenfeld
Vollmershain,04626,Landkreis Altenburger Land
Vollmersweiler,76744,Landkreis Germersheim
Vollrathsruhe,17194,Landkreis Mecklenburgische Seenplatte
Vollstedt,25821,Kreis Nordfriesland
Völpke,39393,Landkreis Börde
Völschow,17129,Landkreis Vorpommern-Greifswald
Volsemenhusen,25693,Kreis Dithmarschen
Voltlage,49599,Landkreis Osnabrück
Volxheim,55546,Landkreis Bad Kreuznach
Vorbach,95519,Landkreis Neustadt an der Waldnaab
Vorbeck,18258,Landkreis Rostock
Vorderweidenthal,76889,Landkreis Südliche Weinstraße
Vordorf,38533,Landkreis Gifhorn
Vorra,91247,Landkreis Nürnberger Land
Vörstetten,79279,Landkreis Emmendingen
Vorwerk,27412,Landkreis Rotenburg (Wümme)
Vreden,48691,Kreis Borken
Vrees,49757,Landkreis Emsland
Waabs,24369,Kreis Rendsburg-Eckernförde
Waake,37136,Landkreis Göttingen
Waakirchen,83666,Landkreis Miesbach
Waal,86875,Landkreis Ostallgäu
Wabern,34590,Schwalm-Eder-Kreis
Wachau,01454,Landkreis Bautzen
Wachenheim,67591,Landkreis Alzey-Worms
Wachenheim an der Weinstraße,67157,Landkreis Bad Dürkheim
Wachenroth,96193,Landkreis Erlangen-Höchstadt
Wachstedt,37359,Landkreis Eichsfeld
Wachtberg,53343,Rhein-Sieg-Kreis
Wachtendonk,47669,Kreis Kleve
Wächtersbach,63607,Main-Kinzig-Kreis
Wacken,25596,Kreis Steinburg
Wackernheim,55263,Landkreis Mainz-Bingen
Wackerow,17498,Landkreis Vorpommern-Greifswald
Wackersberg,83646,Landkreis Bad Tölz-Wolfratshausen
Wackersdorf,92442,Landkreis Schwandorf
Waddeweitz,29496,Landkreis Lüchow-Dannenberg
Wadern,66687,Landkreis Merzig-Wadern
Wadersloh,59329,Kreis Warendorf
Wadgassen,66787,Landkreis Saarlouis
Waffenbrunn,93494,Landkreis Cham
Wagenfeld,49419,Landkreis Diepholz
Wagenhausen,56826,Landkreis Cochem-Zell
Wagenhoff,38559,Landkreis Gifhorn
Wagersrott,24392,Kreis Schleswig-Flensburg
Waghäusel,68753,Landkreis Karlsruhe
Waging am See,83329,Landkreis Traunstein
Wahlbach,55494,Rhein-Hunsrück-Kreis
Wahlenau,55491,Rhein-Hunsrück-Kreis
Wahlhausen,37318,Landkreis Eichsfeld
Wahlheim,55234,Landkreis Alzey-Worms
Wahlrod,57614,Westerwaldkreis
Wahlsburg,37194,Landkreis Kassel
Wahlstedt,23812,Kreis Segeberg
Wahlstorf,24211,Kreis Plön
Wahns,98634,Landkreis Schmalkalden-Meiningen
Wahnwegen,66909,Landkreis Kusel
Wahrenholz,29399,Landkreis Gifhorn
Waiblingen,71332,Rems-Murr-Kreis
Waiblingen,71334,Rems-Murr-Kreis
Waiblingen,71336,Rems-Murr-Kreis
Waibstadt,74915,Rhein-Neckar-Kreis
Waidhaus,92726,Landkreis Neustadt an der Waldnaab
Waidhofen,86579,Landkreis Neuburg-Schrobenhausen
Waigandshain,56477,Westerwaldkreis
Waigolshausen,97534,Landkreis Schweinfurt
Wain,88489,Landkreis Biberach
Wain,89165,Landkreis Biberach
Waischenfeld,91344,Landkreis Bayreuth
Wakendorf I,23845,Kreis Segeberg
Wakendorf II,24558,Kreis Segeberg
Walchum,26907,Landkreis Emsland
Wald,87616,Landkreis Ostallgäu
Wald,93192,Landkreis Cham
Wald,88639,Landkreis Sigmaringen
Waldachtal,72178,Landkreis Freudenstadt
Waldalgesheim,55425,Landkreis Mainz-Bingen
Waldaschaff,63857,Landkreis Aschaffenburg
Waldböckelheim,55596,Landkreis Bad Kreuznach
Waldbreitbach,56588,Landkreis Neuwied
Waldbröl,51545,Oberbergischer Kreis
Waldbronn,76337,Landkreis Karlsruhe
Waldbrunn,97295,Landkreis Würzburg
Waldbrunn,65620,Landkreis Limburg-Weilburg
Waldbrunn,69429,Neckar-Odenwald-Kreis
Waldburg,88289,Landkreis Ravensburg
Waldbüttelbrunn,97297,Landkreis Würzburg
Walddorfhäslach,72141,Landkreis Reutlingen
Waldeck,34513,Landkreis Waldeck-Frankenberg
Waldeck,07646,Saale-Holzland-Kreis
Waldems,65529,Rheingau-Taunus-Kreis
Waldenbuch,71111,Landkreis Böblingen
Waldenburg,74638,Hohenlohekreis
Waldenburg,08396,Landkreis Zwickau
Walderbach,93194,Landkreis Cham
Waldershof,95679,Landkreis Tirschenreuth
Waldesch,56323,Landkreis Mayen-Koblenz
Waldfeucht,52525,Kreis Heinsberg
Waldfischbach-Burgalben,67714,Landkreis Südwestpfalz
Waldgrehweiler,67822,Donnersbergkreis
Waldhambach,76857,Landkreis Südliche Weinstraße
Waldheim,04736,Landkreis Mittelsachsen
Waldhof-Falkenstein,54673,Eifelkreis Bitburg-Prüm
Waldhufen,02906,Landkreis Görlitz
Waldkappel,37284,Werra-Meißner-Kreis
Waldkirch,79183,Landkreis Emmendingen
Waldkirchen,94065,Landkreis Freyung-Grafenau
Waldkraiburg,84478,Landkreis Mühldorf am Inn
Waldlaubersheim,55444,Landkreis Bad Kreuznach
Waldleiningen,67693,Landkreis Kaiserslautern
Wald-Michelbach,69483,Kreis Bergstraße
Waldmohr,66914,Landkreis Kusel
Waldmühlen,56479,Westerwaldkreis
Waldmünchen,93449,Landkreis Cham
Waldorf,53498,Landkreis Ahrweiler
Waldrach,54320,Landkreis Trier-Saarburg
Waldrohrbach,76857,Landkreis Südliche Weinstraße
Waldsassen,95652,Landkreis Tirschenreuth
Waldsee,67165,Rhein-Pfalz-Kreis
Waldshut-Tiengen,79761,Landkreis Waldshut
Waldsieversdorf,15377,Landkreis Märkisch-Oderland
Waldsolms,35647,Lahn-Dill-Kreis
Waldstetten,89367,Landkreis Günzburg
Waldstetten,73550,Ostalbkreis
Waldthurn,92727,Landkreis Neustadt an der Waldnaab
Waldweiler,54429,Landkreis Trier-Saarburg
Walhausen,56865,Landkreis Cochem-Zell
Walheim,74399,Landkreis Ludwigsburg
Walkendorf,17179,Landkreis Rostock
Walkenried,37445,Landkreis Göttingen
Walkenried,37447,Landkreis Göttingen
Walkenried,37449,Landkreis Göttingen
Walkertshofen,86877,Landkreis Augsburg
Walksfelde,23896,Kreis Herzogtum Lauenburg
Wallbach,98639,Landkreis Schmalkalden-Meiningen
Walldorf,69190,Rhein-Neckar-Kreis
Walldorf,98639,Landkreis Schmalkalden-Meiningen
Walldürn,63928,Neckar-Odenwald-Kreis
Walldürn,74731,Neckar-Odenwald-Kreis
Wallen,25788,Kreis Dithmarschen
Wallenborn,54570,Landkreis Vulkaneifel
Wallendorf,54675,Eifelkreis Bitburg-Prüm
Wallenfels,96346,Landkreis Kronach
Wallenhorst,49134,Landkreis Osnabrück
Wallerfangen,66798,Landkreis Saarlouis
Wallerfing,94574,Landkreis Deggendorf
Wallersdorf,94522,Landkreis Dingolfing-Landau
Wallersheim,54597,Eifelkreis Bitburg-Prüm
Wallerstein,86757,Landkreis Donau-Ries
Wallertheim,55578,Landkreis Alzey-Worms
Wallgau,82499,Landkreis Garmisch-Partenkirchen
Wallhalben,66917,Landkreis Südwestpfalz
Wallhausen,74599,Landkreis Schwäbisch Hall
Wallhausen,55595,Landkreis Bad Kreuznach
Wallhausen,06528,Landkreis Mansfeld-Südharz
Wallmenroth,57584,Landkreis Altenkirchen
Wallmerod,56414,Westerwaldkreis
Wallmoden,38729,Landkreis Goslar
Wallsbüll,24980,Kreis Schleswig-Flensburg
Wallscheid,54531,Landkreis Bernkastel-Wittlich
Wallstawe,29413,Altmarkkreis Salzwedel
Walluf,65396,Rheingau-Taunus-Kreis
Walow,17209,Landkreis Mecklenburgische Seenplatte
Walpernhain,07613,Saale-Holzland-Kreis
Walpertskirchen,85469,Landkreis Erding
Walschleben,99189,Landkreis Sömmerda
Walsdorf,54578,Landkreis Vulkaneifel
Walsdorf,96194,Landkreis Bamberg
Walshausen,66484,Landkreis Südwestpfalz
Walsheim,76833,Landkreis Südliche Weinstraße
Walsleben,16818,Landkreis Ostprignitz-Ruppin
Walsrode,29664,Landkreis Heidekreis
Walsrode,29693,Landkreis Heidekreis
Waltenhausen,86480,Landkreis Günzburg
Waltenhofen,87448,Landkreis Oberallgäu
Walterschen,57632,Landkreis Altenkirchen
Waltersdorf,07646,Saale-Holzland-Kreis
Waltershausen,99880,Landkreis Gotha
Walting,85137,Landkreis Eichstätt
Waltrop,45731,Kreis Recklinghausen
Walzbachtal,75045,Landkreis Karlsruhe
Wanderup,24997,Kreis Schleswig-Flensburg
Wandlitz,16348,Landkreis Barnim
Wanfried,37281,Werra-Meißner-Kreis
Wang,85368,Landkreis Freising
Wangelau,21483,Kreis Herzogtum Lauenburg
Wangelnstedt,37627,Landkreis Holzminden
Wangels,23758,Kreis Ostholstein
Wangen,73117,Landkreis Göppingen
Wangenheim,99869,Landkreis Gotha
Wangen im Allgäu,88239,Landkreis Ravensburg
Wangerland,26434,Landkreis Friesland
Wangerooge,26486,Landkreis Friesland
Wankendorf,24601,Kreis Plön
Wanna,21776,Landkreis Cuxhaven
Wannweil,72827,Landkreis Reutlingen
Wanzleben-Börde,39164,Landkreis Börde
Wapelfeld,24594,Kreis Rendsburg-Eckernförde
Warberg,38378,Landkreis Helmstedt
Warburg,34414,Kreis Höxter
Wardenburg,26203,Landkreis Oldenburg
Warder,24646,Kreis Rendsburg-Eckernförde
Wardow,18299,Landkreis Rostock
Warendorf,48231,Kreis Warendorf
